"away_score","home_score","away_team","home_team","year","team","game_date"
"13","27","Cardinals","49ers",2012,"49ers","12-30-2012"
"23","27","Rams","Lions",2012,"rams","09-09-2012"
"28","31","Redskins","Rams",2012,"rams","09-16-2012"
"06","23","Rams","Bears",2012,"rams","09-23-2012"
"13","19","Seahawks","Rams",2012,"rams","09-30-2012"
"03","17","Cardinals","Rams",2012,"rams","10-04-2012"
"14","17","Rams","Dolphins",2012,"rams","10-14-2012"
"30","20","Packers","Rams",2012,"rams","10-21-2012"
"45","07","Patriots","Rams",2012,"rams","10-28-2012"
"24","24","Rams","49ers",2012,"rams","11-11-2012"
"27","13","Jets","Rams",2012,"rams","11-18-2012"
"31","17","Rams","Cardinals",2012,"rams","11-25-2012"
"13","16","49ers","Rams",2012,"rams","12-02-2012"
"15","12","Rams","Bills",2012,"rams","12-09-2012"
"36","22","Vikings","Rams",2012,"rams","12-16-2012"
"28","13","Rams","Buccaneers",2012,"rams","12-23-2012"
"13","20","Rams","Seahawks",2012,"rams","12-30-2012"
"24","34","Vikings","Lions",2013,"vikings","09-08-2013"
"30","31","Vikings","Bears",2013,"vikings","09-15-2013"
"31","27","Browns","Vikings",2013,"vikings","09-22-2013"
"27","34","Steelers","Vikings",2013,"vikings","09-29-2013"
"35","10","Panthers","Vikings",2013,"vikings","10-13-2013"
"07","23","Vikings","Giants",2013,"vikings","10-21-2013"
"44","31","Packers","Vikings",2013,"vikings","10-27-2013"
"23","27","Vikings","Cowboys",2013,"vikings","11-03-2013"
"27","34","Redskins","Vikings",2013,"vikings","11-07-2013"
"20","41","Vikings","Seahawks",2013,"vikings","11-17-2013"
"26","26","Vikings","Packers",2013,"vikings","11-24-2013"
"20","23","Bears","Vikings",2013,"vikings","12-01-2013"
"26","29","Vikings","Ravens",2013,"vikings","12-08-2013"
"30","48","Eagles","Vikings",2013,"vikings","12-15-2013"
"14","42","Vikings","Bengals",2013,"vikings","12-22-2013"
"13","14","Lions","Vikings",2013,"vikings","12-29-2013"
"28","34","Packers","49ers",2013,"packers","09-08-2013"
"20","38","Redskins","Packers",2013,"packers","09-15-2013"
"30","34","Packers","Bengals",2013,"packers","09-22-2013"
"09","22","Lions","Packers",2013,"packers","10-06-2013"
"19","17","Packers","Ravens",2013,"packers","10-13-2013"
"13","31","Browns","Packers",2013,"packers","10-20-2013"
"44","31","Packers","Vikings",2013,"packers","10-27-2013"
"27","20","Bears","Packers",2013,"packers","11-04-2013"
"27","13","Eagles","Packers",2013,"packers","11-10-2013"
"13","27","Packers","Giants",2013,"packers","11-17-2013"
"26","26","Vikings","Packers",2013,"packers","11-24-2013"
"10","40","Packers","Lions",2013,"packers","11-28-2013"
"21","22","Falcons","Packers",2013,"packers","12-08-2013"
"37","36","Packers","Cowboys",2013,"packers","12-15-2013"
"38","31","Steelers","Packers",2013,"packers","12-22-2013"
"33","28","Packers","Bears",2013,"packers","12-29-2013"
"23","16","Bengals","Ravens",2014,"bengals","09-07-2014"
"10","24","Falcons","Bengals",2014,"bengals","09-14-2014"
"07","33","Titans","Bengals",2014,"bengals","09-21-2014"
"17","43","Bengals","Patriots",2014,"bengals","10-05-2014"
"37","37","Panthers","Bengals",2014,"bengals","10-12-2014"
"00","27","Bengals","Colts",2014,"bengals","10-19-2014"
"24","27","Ravens","Bengals",2014,"bengals","10-26-2014"
"23","33","Jaguars","Bengals",2014,"bengals","11-02-2014"
"24","03","Browns","Bengals",2014,"bengals","11-06-2014"
"27","10","Bengals","Saints",2014,"bengals","11-16-2014"
"22","13","Bengals","Texans",2014,"bengals","11-23-2014"
"14","13","Bengals","Buccaneers",2014,"bengals","11-30-2014"
"42","21","Steelers","Bengals",2014,"bengals","12-07-2014"
"30","00","Bengals","Browns",2014,"bengals","12-14-2014"
"28","37","Broncos","Bengals",2014,"bengals","12-22-2014"
"17","27","Bengals","Steelers",2014,"bengals","12-28-2014"
"20","14","Panthers","Buccaneers",2014,"panthers","09-07-2014"
"07","24","Lions","Panthers",2014,"panthers","09-14-2014"
"37","19","Steelers","Panthers",2014,"panthers","09-21-2014"
"10","38","Panthers","Ravens",2014,"panthers","09-28-2014"
"24","31","Bears","Panthers",2014,"panthers","10-05-2014"
"37","37","Panthers","Bengals",2014,"panthers","10-12-2014"
"17","38","Panthers","Packers",2014,"panthers","10-19-2014"
"13","09","Seahawks","Panthers",2014,"panthers","10-26-2014"
"28","10","Saints","Panthers",2014,"panthers","10-30-2014"
"21","45","Panthers","Eagles",2014,"panthers","11-10-2014"
"19","17","Falcons","Panthers",2014,"panthers","11-16-2014"
"13","31","Panthers","Vikings",2014,"panthers","11-30-2014"
"41","10","Panthers","Saints",2014,"panthers","12-07-2014"
"17","19","Buccaneers","Panthers",2014,"panthers","12-14-2014"
"13","17","Browns","Panthers",2014,"panthers","12-21-2014"
"34","03","Panthers","Falcons",2014,"panthers","12-28-2014"
"38","16","Steelers","Redskins",2016,"redskins","09-12-2016"
"27","23","Cowboys","Redskins",2016,"redskins","09-18-2016"
"29","27","Redskins","Giants",2016,"redskins","09-25-2016"
"20","31","Browns","Redskins",2016,"redskins","10-02-2016"
"16","10","Redskins","Ravens",2016,"redskins","10-09-2016"
"20","27","Eagles","Redskins",2016,"redskins","10-16-2016"
"17","20","Redskins","Lions",2016,"redskins","10-23-2016"
"27","27","Redskins","Bengals",2016,"redskins","10-30-2016"
"20","26","Vikings","Redskins",2016,"redskins","11-13-2016"
"24","42","Packers","Redskins",2016,"redskins","11-20-2016"
"26","31","Redskins","Cowboys",2016,"redskins","11-24-2016"
"23","31","Redskins","Cardinals",2016,"redskins","12-04-2016"
"27","22","Redskins","Eagles",2016,"redskins","12-11-2016"
"26","15","Panthers","Redskins",2016,"redskins","12-19-2016"
"41","21","Redskins","Bears",2016,"redskins","12-24-2016"
"19","10","Giants","Redskins",2016,"redskins","01-01-2016"
"38","16","Steelers","Redskins",2016,"redskins","09-12-2016"
"27","23","Cowboys","Redskins",2016,"redskins","09-18-2016"
"29","27","Redskins","Giants",2016,"redskins","09-25-2016"
"20","31","Browns","Redskins",2016,"redskins","10-02-2016"
"16","10","Redskins","Ravens",2016,"redskins","10-09-2016"
"20","27","Eagles","Redskins",2016,"redskins","10-16-2016"
"17","20","Redskins","Lions",2016,"redskins","10-23-2016"
"27","27","Redskins","Bengals",2016,"redskins","10-30-2016"
"20","26","Vikings","Redskins",2016,"redskins","11-13-2016"
"24","42","Packers","Redskins",2016,"redskins","11-20-2016"
"26","31","Redskins","Cowboys",2016,"redskins","11-24-2016"
"23","31","Redskins","Cardinals",2016,"redskins","12-04-2016"
"27","22","Redskins","Eagles",2016,"redskins","12-11-2016"
"26","15","Panthers","Redskins",2016,"redskins","12-19-2016"
"41","21","Redskins","Bears",2016,"redskins","12-24-2016"
"19","10","Giants","Redskins",2016,"redskins","01-01-2016"
"23","22","Bengals","Jets",2016,"bengals","09-11-2016"
"16","24","Bengals","Steelers",2016,"bengals","09-18-2016"
"29","17","Broncos","Bengals",2016,"bengals","09-25-2016"
"07","22","Dolphins","Bengals",2016,"bengals","09-29-2016"
"14","28","Bengals","Cowboys",2016,"bengals","10-09-2016"
"17","35","Bengals","Patriots",2016,"bengals","10-16-2016"
"17","31","Browns","Bengals",2016,"bengals","10-23-2016"
"27","27","Redskins","Bengals",2016,"bengals","10-30-2016"
"20","21","Bengals","Giants",2016,"bengals","11-14-2016"
"16","12","Bills","Bengals",2016,"bengals","11-20-2016"
"14","19","Bengals","Ravens",2016,"bengals","11-27-2016"
"14","32","Eagles","Bengals",2016,"bengals","12-04-2016"
"23","10","Bengals","Browns",2016,"bengals","12-11-2016"
"24","20","Steelers","Bengals",2016,"bengals","12-18-2016"
"10","12","Bengals","Texans",2016,"bengals","12-24-2016"
"10","27","Ravens","Bengals",2016,"bengals","01-01-2016"
"10","12","Dolphins","Seahawks",2016,"seahawks","09-11-2016"
"03","09","Seahawks","Rams",2016,"seahawks","09-18-2016"
"18","37","49ers","Seahawks",2016,"seahawks","09-25-2016"
"27","17","Seahawks","Jets",2016,"seahawks","10-02-2016"
"24","26","Falcons","Seahawks",2016,"seahawks","10-16-2016"
"06","06","Seahawks","Cardinals",2016,"seahawks","10-23-2016"
"20","25","Seahawks","Saints",2016,"seahawks","10-30-2016"
"25","31","Bills","Seahawks",2016,"seahawks","11-07-2016"
"31","24","Seahawks","Patriots",2016,"seahawks","11-13-2016"
"15","26","Eagles","Seahawks",2016,"seahawks","11-20-2016"
"05","14","Seahawks","Buccaneers",2016,"seahawks","11-27-2016"
"07","40","Panthers","Seahawks",2016,"seahawks","12-04-2016"
"10","38","Seahawks","Packers",2016,"seahawks","12-11-2016"
"03","24","Rams","Seahawks",2016,"seahawks","12-15-2016"
"34","31","Cardinals","Seahawks",2016,"seahawks","12-24-2016"
"25","23","Seahawks","49ers",2016,"seahawks","01-01-2016"
"23","21","Patriots","Cardinals",2016,"cardinals","09-11-2016"
"07","40","Buccaneers","Cardinals",2016,"cardinals","09-18-2016"
"18","33","Cardinals","Bills",2016,"cardinals","09-25-2016"
"17","13","Rams","Cardinals",2016,"cardinals","10-02-2016"
"33","21","Cardinals","49ers",2016,"cardinals","10-06-2016"
"03","28","Jets","Cardinals",2016,"cardinals","10-17-2016"
"06","06","Seahawks","Cardinals",2016,"cardinals","10-23-2016"
"20","30","Cardinals","Panthers",2016,"cardinals","10-30-2016"
"20","23","49ers","Cardinals",2016,"cardinals","11-13-2016"
"24","30","Cardinals","Vikings",2016,"cardinals","11-20-2016"
"19","38","Cardinals","Falcons",2016,"cardinals","11-27-2016"
"23","31","Redskins","Cardinals",2016,"cardinals","12-04-2016"
"23","26","Cardinals","Dolphins",2016,"cardinals","12-11-2016"
"48","41","Saints","Cardinals",2016,"cardinals","12-18-2016"
"34","31","Cardinals","Seahawks",2016,"cardinals","12-24-2016"
"44","06","Cardinals","Rams",2016,"cardinals","01-01-2016"
"30","17","Eagles","Redskins",2017,"eagles","09-10-2017"
"20","27","Eagles","Chiefs",2017,"eagles","09-17-2017"
"24","27","Giants","Eagles",2017,"eagles","09-24-2017"
"26","24","Eagles","Chargers",2017,"eagles","10-01-2017"
"07","34","Cardinals","Eagles",2017,"eagles","10-08-2017"
"28","23","Eagles","Panthers",2017,"eagles","10-12-2017"
"24","34","Redskins","Eagles",2017,"eagles","10-23-2017"
"10","33","49ers","Eagles",2017,"eagles","10-29-2017"
"30","17","Eagles","Redskins",2017,"redskins","09-10-2017"
"27","20","Redskins","Rams",2017,"redskins","09-17-2017"
"10","27","Raiders","Redskins",2017,"redskins","09-24-2017"
"20","29","Redskins","Chiefs",2017,"redskins","10-02-2017"
"24","26","49ers","Redskins",2017,"redskins","10-15-2017"
"24","34","Redskins","Eagles",2017,"redskins","10-23-2017"
"33","19","Cowboys","Redskins",2017,"redskins","10-29-2017"
"at","at","","",2017,"redskins","NA- 12-2017"
"03","19","Giants","Cowboys",2017,"giants","09-10-2017"
"24","10","Lions","Giants",2017,"giants","09-18-2017"
"24","27","Giants","Eagles",2017,"giants","09-24-2017"
"23","25","Giants","Buccaneers",2017,"giants","10-01-2017"
"27","22","Chargers","Giants",2017,"giants","10-08-2017"
"23","10","Giants","Broncos",2017,"giants","10-15-2017"
"24","07","Seahawks","Giants",2017,"giants","10-22-2017"
"at","at","","",2017,"giants","NA- 12-2017"
"03","19","Giants","Cowboys",2017,"cowboys","09-10-2017"
"17","42","Cowboys","Broncos",2017,"cowboys","09-17-2017"
"28","17","Cowboys","Cardinals",2017,"cowboys","09-25-2017"
"35","30","Rams","Cowboys",2017,"cowboys","10-01-2017"
"35","31","Packers","Cowboys",2017,"cowboys","10-08-2017"
"40","10","Cowboys","49ers",2017,"cowboys","10-22-2017"
"33","19","Cowboys","Redskins",2017,"cowboys","10-29-2017"
"at","at","","",2017,"cowboys","NA- 12-2017"
"42","27","Chiefs","Patriots",2017,"patriots","09-07-2017"
"36","20","Patriots","Saints",2017,"patriots","09-17-2017"
"33","36","Texans","Patriots",2017,"patriots","09-24-2017"
"33","30","Panthers","Patriots",2017,"patriots","10-01-2017"
"19","14","Patriots","Buccaneers",2017,"patriots","10-05-2017"
"24","17","Patriots","Jets",2017,"patriots","10-15-2017"
"07","23","Falcons","Patriots",2017,"patriots","10-22-2017"
"13","21","Chargers","Patriots",2017,"patriots","10-29-2017"
"21","18","Steelers","Browns",2017,"steelers","09-10-2017"
"09","26","Vikings","Steelers",2017,"steelers","09-17-2017"
"17","23","Steelers","Bears",2017,"steelers","09-24-2017"
"26","09","Steelers","Ravens",2017,"steelers","10-01-2017"
"30","09","Jaguars","Steelers",2017,"steelers","10-08-2017"
"19","13","Steelers","Chiefs",2017,"steelers","10-15-2017"
"14","29","Bengals","Steelers",2017,"steelers","10-22-2017"
"20","15","Steelers","Lions",2017,"steelers","10-29-2017"
"42","27","Chiefs","Patriots",2017,"chiefs","09-07-2017"
"20","27","Eagles","Chiefs",2017,"chiefs","09-17-2017"
"24","10","Chiefs","Chargers",2017,"chiefs","09-24-2017"
"20","29","Redskins","Chiefs",2017,"chiefs","10-02-2017"
"42","34","Chiefs","Texans",2017,"chiefs","10-08-2017"
"19","13","Steelers","Chiefs",2017,"chiefs","10-15-2017"
"30","31","Chiefs","Raiders",2017,"chiefs","10-19-2017"
"19","29","Broncos","Chiefs",2017,"chiefs","10-30-2017"
"26","16","Raiders","Titans",2017,"raiders","09-10-2017"
"20","45","Jets","Raiders",2017,"raiders","09-17-2017"
"10","27","Raiders","Redskins",2017,"raiders","09-24-2017"
"10","16","Raiders","Broncos",2017,"raiders","10-01-2017"
"30","17","Ravens","Raiders",2017,"raiders","10-08-2017"
"17","16","Chargers","Raiders",2017,"raiders","10-15-2017"
"30","31","Chiefs","Raiders",2017,"raiders","10-19-2017"
"14","34","Raiders","Bills",2017,"raiders","10-29-2017"
"29","07","Jaguars","Texans",2017,"texans","09-10-2017"
"13","09","Texans","Bengals",2017,"texans","09-14-2017"
"33","36","Texans","Patriots",2017,"texans","09-24-2017"
"14","57","Titans","Texans",2017,"texans","10-01-2017"
"42","34","Chiefs","Texans",2017,"texans","10-08-2017"
"17","33","Browns","Texans",2017,"texans","10-15-2017"
"38","41","Texans","Seahawks",2017,"texans","10-29-2017"
"at","at","","",2017,"texans","NA- 12-2017"
"19","17","Dolphins","Chargers",2017,"dolphins","09-17-2017"
"06","20","Dolphins","Jets",2017,"dolphins","09-24-2017"
"20","00","Saints","Dolphins",2017,"dolphins","10-01-2017"
"10","16","Titans","Dolphins",2017,"dolphins","10-08-2017"
"20","17","Dolphins","Falcons",2017,"dolphins","10-15-2017"
"28","31","Jets","Dolphins",2017,"dolphins","10-22-2017"
"00","40","Dolphins","Ravens",2017,"dolphins","10-26-2017"
"at","at","","",2017,"dolphins","NA- 13-2017"
"20","00","Ravens","Bengals",2017,"ravens","09-10-2017"
"10","24","Browns","Ravens",2017,"ravens","09-17-2017"
"07","44","Ravens","Jaguars",2017,"ravens","09-24-2017"
"26","09","Steelers","Ravens",2017,"ravens","10-01-2017"
"30","17","Ravens","Raiders",2017,"ravens","10-08-2017"
"27","24","Bears","Ravens",2017,"ravens","10-15-2017"
"16","24","Ravens","Vikings",2017,"ravens","10-22-2017"
"00","40","Dolphins","Ravens",2017,"ravens","10-26-2017"
"21","18","Steelers","Browns",2017,"browns","09-10-2017"
"10","24","Browns","Ravens",2017,"browns","09-17-2017"
"28","31","Browns","Colts",2017,"browns","09-24-2017"
"31","07","Bengals","Browns",2017,"browns","10-01-2017"
"17","14","Jets","Browns",2017,"browns","10-08-2017"
"17","33","Browns","Texans",2017,"browns","10-15-2017"
"12","09","Titans","Browns",2017,"browns","10-22-2017"
"33","16","Vikings","Browns",2017,"browns","10-29-2017"
"07","29","Bears","Buccaneers",2017,"buccaneers","09-17-2017"
"17","34","Buccaneers","Vikings",2017,"buccaneers","09-24-2017"
"23","25","Giants","Buccaneers",2017,"buccaneers","10-01-2017"
"19","14","Patriots","Buccaneers",2017,"buccaneers","10-05-2017"
"33","38","Buccaneers","Cardinals",2017,"buccaneers","10-15-2017"
"27","30","Buccaneers","Bills",2017,"buccaneers","10-22-2017"
"17","03","Panthers","Buccaneers",2017,"buccaneers","10-29-2017"
"at","at","","",2017,"buccaneers","NA- 12-2017"
"20","00","Ravens","Bengals",2017,"bengals","09-10-2017"
"13","09","Texans","Bengals",2017,"bengals","09-14-2017"
"24","27","Bengals","Packers",2017,"bengals","09-24-2017"
"31","07","Bengals","Browns",2017,"bengals","10-01-2017"
"16","20","Bills","Bengals",2017,"bengals","10-08-2017"
